locationId,location,parameter,pm25_value,unit,country,latitude,longitude,datetime_utc
76,De Zilk-Vogelaarsdreef,pm25,2.88664,µg/m³,NL,52.296556,4.510817,2024-12-21 02:00:00+00:00
76,De Zilk-Vogelaarsdreef,pm25,6.85564,µg/m³,NL,52.296556,4.510817,2024-12-21 01:00:00+00:00
157,Bexley - Slade Green Fidas,pm25,4.7,µg/m³,GB,51.46598327,0.184877127,2024-12-21 04:00:00+00:00
157,Bexley - Slade Green Fidas,pm25,5.1,µg/m³,GB,51.46598327,0.184877127,2024-12-21 03:00:00+00:00
157,Bexley - Slade Green Fidas,pm25,5,µg/m³,GB,51.46598327,0.184877127,2024-12-21 02:00:00+00:00
157,Bexley - Slade Green Fidas,pm25,4.9,µg/m³,GB,51.46598327,0.184877127,2024-12-21 01:00:00+00:00
213,Twin Falls PM25,pm25,7,µg/m³,US,42.565089,-114.494717,2024-12-21 04:00:00+00:00
213,Twin Falls PM25,pm25,9,µg/m³,US,42.565089,-114.494717,2024-12-21 03:00:00+00:00
213,Twin Falls PM25,pm25,6,µg/m³,US,42.565089,-114.494717,2024-12-21 02:00:00+00:00
213,Twin Falls PM25,pm25,6,µg/m³,US,42.565089,-114.494717,2024-12-21 01:00:00+00:00
216,South Bend-Shields D,pm25,3.7,µg/m³,US,41.696667,-86.214722,2024-12-21 04:00:00+00:00
216,South Bend-Shields D,pm25,3.9,µg/m³,US,41.696667,-86.214722,2024-12-21 03:00:00+00:00
216,South Bend-Shields D,pm25,3.8,µg/m³,US,41.696667,-86.214722,2024-12-21 02:00:00+00:00
216,South Bend-Shields D,pm25,3.1,µg/m³,US,41.696667,-86.214722,2024-12-21 01:00:00+00:00
220,Larwill,pm25,2.4,µg/m³,US,41.169722,-85.629444,2024-12-21 04:00:00+00:00
220,Larwill,pm25,2,µg/m³,US,41.169722,-85.629444,2024-12-21 03:00:00+00:00
220,Larwill,pm25,2.7,µg/m³,US,41.169722,-85.629444,2024-12-21 02:00:00+00:00
220,Larwill,pm25,3.1,µg/m³,US,41.169722,-85.629444,2024-12-21 01:00:00+00:00
233,Spokane Valley-E Bro,pm25,15,µg/m³,US,47.663962,-117.25765,2024-12-21 04:00:00+00:00
233,Spokane Valley-E Bro,pm25,20,µg/m³,US,47.663962,-117.25765,2024-12-21 03:00:00+00:00
233,Spokane Valley-E Bro,pm25,22,µg/m³,US,47.663962,-117.25765,2024-12-21 02:00:00+00:00
233,Spokane Valley-E Bro,pm25,13,µg/m³,US,47.663962,-117.25765,2024-12-21 01:00:00+00:00
234,Enterprise - US Fore,pm25,24.6,µg/m³,US,45.426351,-117.296066,2024-12-21 04:00:00+00:00
234,Enterprise - US Fore,pm25,18.8,µg/m³,US,45.426351,-117.296066,2024-12-21 03:00:00+00:00
234,Enterprise - US Fore,pm25,20.1,µg/m³,US,45.426351,-117.296066,2024-12-21 02:00:00+00:00
234,Enterprise - US Fore,pm25,13.3,µg/m³,US,45.426351,-117.296066,2024-12-21 01:00:00+00:00
244,Liberty,pm25,4.5,µg/m³,US,39.303056,-94.376389,2024-12-21 04:00:00+00:00
244,Liberty,pm25,4.2,µg/m³,US,39.303056,-94.376389,2024-12-21 03:00:00+00:00
244,Liberty,pm25,2.4,µg/m³,US,39.303056,-94.376389,2024-12-21 02:00:00+00:00
244,Liberty,pm25,8,µg/m³,US,39.303056,-94.376389,2024-12-21 01:00:00+00:00
259,Troost,pm25,6.7,µg/m³,US,39.10465,-94.57055,2024-12-21 04:00:00+00:00
259,Troost,pm25,7,µg/m³,US,39.10465,-94.57055,2024-12-21 03:00:00+00:00
259,Troost,pm25,8.6,µg/m³,US,39.10465,-94.57055,2024-12-21 02:00:00+00:00
259,Troost,pm25,6.6,µg/m³,US,39.10465,-94.57055,2024-12-21 01:00:00+00:00
260,St. Joseph,pm25,10.7,µg/m³,US,39.741667,-94.858333,2024-12-21 04:00:00+00:00
260,St. Joseph,pm25,14.2,µg/m³,US,39.741667,-94.858333,2024-12-21 03:00:00+00:00
260,St. Joseph,pm25,13.6,µg/m³,US,39.741667,-94.858333,2024-12-21 02:00:00+00:00
260,St. Joseph,pm25,7.6,µg/m³,US,39.741667,-94.858333,2024-12-21 01:00:00+00:00
270,Los Ángeles Oriente,pm25,13,µg/m³,CL,-37.46303506,-72.32457516,2024-12-21 02:00:00+00:00
270,Los Ángeles Oriente,pm25,13,µg/m³,CL,-37.46303506,-72.32457516,2024-12-21 01:00:00+00:00
274,Reading Airport,pm25,13,µg/m³,US,40.3833,-75.9686,2024-12-21 04:00:00+00:00
274,Reading Airport,pm25,11.1,µg/m³,US,40.3833,-75.9686,2024-12-21 03:00:00+00:00
274,Reading Airport,pm25,8.3,µg/m³,US,40.3833,-75.9686,2024-12-21 02:00:00+00:00
274,Reading Airport,pm25,6.1,µg/m³,US,40.3833,-75.9686,2024-12-21 01:00:00+00:00
282,Pinedale Gaseous,pm25,2.1,µg/m³,US,42.8698,-109.8708,2024-12-21 04:00:00+00:00
282,Pinedale Gaseous,pm25,3.9,µg/m³,US,42.8698,-109.8708,2024-12-21 03:00:00+00:00
282,Pinedale Gaseous,pm25,5.8,µg/m³,US,42.8698,-109.8708,2024-12-21 02:00:00+00:00
282,Pinedale Gaseous,pm25,5.9,µg/m³,US,42.8698,-109.8708,2024-12-21 01:00:00+00:00
289,LOCKELAND,pm25,11.4,µg/m³,US,36.1767,-86.7386,2024-12-21 04:00:00+00:00
289,LOCKELAND,pm25,11.6,µg/m³,US,36.1767,-86.7386,2024-12-21 03:00:00+00:00
289,LOCKELAND,pm25,11.3,µg/m³,US,36.1767,-86.7386,2024-12-21 02:00:00+00:00
289,LOCKELAND,pm25,11.7,µg/m³,US,36.1767,-86.7386,2024-12-21 01:00:00+00:00
294,Mirasol,pm25,13,µg/m³,CL,-41.47950692,-72.96875593,2024-12-21 03:00:00+00:00
294,Mirasol,pm25,13,µg/m³,CL,-41.47950692,-72.96875593,2024-12-21 02:00:00+00:00
294,Mirasol,pm25,13,µg/m³,CL,-41.47950692,-72.96875593,2024-12-21 01:00:00+00:00
296,Bomberos,pm25,22,µg/m³,CL,-22.111064,-70.210828,2024-12-21 03:00:00+00:00
296,Bomberos,pm25,22,µg/m³,CL,-22.111064,-70.210828,2024-12-21 02:00:00+00:00
296,Bomberos,pm25,22,µg/m³,CL,-22.111064,-70.210828,2024-12-21 01:00:00+00:00
287,St. Lina,pm25,7.1,µg/m³,CA,54.216473,-111.50264,2024-12-21 04:00:00+00:00
287,St. Lina,pm25,6.3,µg/m³,CA,54.216473,-111.50264,2024-12-21 03:00:00+00:00
287,St. Lina,pm25,5.9,µg/m³,CA,54.216473,-111.50264,2024-12-21 02:00:00+00:00
